Workbook: 2 worksheets. Cell values are tab-separated rows; "Formulas" lists formula cells by source (which can differ from the displayed value).

## Sheet: Torque Log — 1120 rows × 12 columns (A1:L1120)
Flanged Connections - Torque Verification Log											
							Date:  		9/1/2025		
							Location Name:  		DP-318		
							CHVERON PIC:  		SCOTT GREEN		
							Construction  Company:  		FORTRESS DS		
[2 empty rows]
Torque Wrench Number			Last Calibration Date			Calibration Certificates Submitted? (Y/N)			Note:  A marked up ISO Map with the associated Flange #'s as listed below must accompany this Torque Log when turned over to Noble.		
12511 5125 (30-250 LB)			6/25/2025			Yes					
12511 5155  (30-250 LB)			5/2/2025			Yes					
122360 O480 (100-600 LB)			5/1/2025			Yes					
10240 4463 (20-250 LB) 			6/25/2025			Yes			Total Flanges		718
032460 0808 (200-1000 LB)			2/4/2025			Yes			# of Flanges Inspected		205
0224900 0218 (50-250 LB)			12/4/2024			Yes			Inspection Percentage		28.6%
[2 empty rows]
ISO Flange #	ISO Number	Flange Pipe Size (in)	Bolt Diameter (in)	# of Bolts	Required Torque (ft-lbs)	Actual Torque (ft-lbs)	Wrench ID #	Torque Date	Employee Initials	Inspection Date	Inspector Initials
296	3-PG-63202-DCM	3" 600	3/4"	8	100-150	150	0216	10/28/2025	IG EC	3/25/2026	KK
297	3-PG-63202-DCM	3" 600	3/4"	8	100-150	150	0216	10/28/2025	IG EC	3/25/2026	KK
299.1	2-PW-21023-ACN	2" 150	5/8"	4	60-120	120	4463	11/12/2025	AN		
299.2	2-PW-21023-ACN	2" 150	5/8"	4	60-120	120	4463	11/12/2025	AN		
299.3	2-PW-21023-ACN	2" 150	5/8"	4	60-120	120	4463	11/12/2025	AN		
299.4	2-PW-21023-ACN	2" 150	5/8"	4	60-120	120	4463	11/12/2025	AN		
298	4-PG-21021-ACM	4" 150	5/8"	8	70-120	120	5155	11/14/2025	IG EC		
299	4-PG-21021-ACM	4" 150	5/8"	8	70-120	120	5155	11/14/2025	IG EC		
300	4-PG-21021-ACM	4" 150	5/8"	8	70-120	120	5155	11/14/2025	IG EC		
301	4-PG-21021-ACM	4" 150	5/8"	8	70-120	120	5155	11/14/2025	IG EC		
302	 6-PF-21205-ACM	6" 300	3/4"	12	110-200	200	0719	11/13/2025	IG EC		
303	 6-PF-21205-ACM	6" 300	3/4"	12	110-200	200	0719	11/13/2025	IG EC		
304	 6-PF-21205-ACM	6" 300	3/4"	12	110-200	200	0719	11/13/2025	IG EC		
305	 6-PF-21205-ACM	6" 150	3/4"	8	130-200	200	5155	11/12/2025	IG EC		
306	6-PO-21022-ACM	6" 150	3/4"	8	130-200	200	5155	11/12/2025	IG EC		
307	6-PO-21022-ACM	6" 150	3/4"	8	130-200	200	5155	11/12/2025	IG EC		
308	6-PO-21022-ACM	6" 150	3/4"	8	130-200	200	5155	11/13/2025	IG EC		
309	 6-VG-21005-ACM	4" 150	5/8"	8	70-120	120	5155	11/15/2025	IG EC		
309.1	 6-VG-21005-ACM	4" 150	5/8"	8	70-120	120	5155	11/15/2025	IG EC		
310	6-VG-60010-ACM	4" 150	5/8"	8	70-120	120	5155	11/15/2025	IG EC		
310.1	6-VG-60010-ACM	4" 150	5/8"	8	70-120	120	5155	11/15/2025	IG EC		
311.1	6-VG-2102202-ACM	6" 150	3/4"	8	130-200	200	5155	10/23/2025	AN		
311.2	6-VG-2102202-ACM	4" 150	5/8"	8	70-120	120	0216	10/23/2025	AN		
311.3	6-VG-2102202-ACM	6" 150	3/4"	8	130-200	200	0216	10/23/2025	AN		
313	2-PF-21034-ACL	2" 150	5/8"	4	60-120	120	0216	10/27/2025	IG EC		
314	2-PF-21034-DCL	2" 600	5/8"	8	60-80	80	0216	10/27/2025	CM		
315	2-PF-21034-DCL	2" 600	5/8"	8	60-80	80	0216	10/27/2025	CM		
316	2-PW-21033-ACN	2" 150	5/8"	4	60-120	120	0216	10/30/2025	CM		
317	2-PW-21033-ACN	2" 150	5/8"	4	60-120	120	0719	10/30/2025	CM		
318	2-PW-21033-ACN	2" 150	5/8"	4	60-120	120	0719	10/30/2025	CM		
319	2-PW-21033-ACN	2" 150	5/8"	4	60-120	120	0719	10/30/2025	CM		
321	 4-PG-21031-ACM	4" 150	5/8"	8	70-120	120	0216	10/30/2025	JR		
322	 4-PG-21031-ACM	4" 150	5/8"	8	70-120	120	0216	10/30/2025	JR		
323	 4-PG-21031-ACM	4" 150	5/8"	8	70-120	120	0216	10/30/2025	JR		
324	 4-PG-21031-ACM	4" 150	5/8"	8	70-120	120	0216	10/30/2025	JR		
325	 4-PG-21031-ACM	4" 150	5/8"	8	70-120	120	0216	10/30/2025	JR		
326	 4-PG-21031-ACM	4" 150	5/8"	8	70-120	120	0216	10/30/2025	JR		
327	 4-PG-21031-ACM	2" 150	5/8"	4	60-120	120	0216	10/30/2025	JR		
328	 4-PG-21031-ACM	6" 150	3/4"	8	130-200	200	0216	10/30/2025	JR		
329	 6-PF-21206-ACM	6" 300	3/4"	12	110-200	200	0719	11/4/2025	IG EC		
330	 6-PF-21206-ACM	6" 300	3/4"	12	110-200	200	0719	11/4/2025	IG EC		
331	 6-PF-21206-ACM	6" 300	3/4"	12	110-200	200	0719	11/4/2025	IG EC		
332	 6-PF-21206-ACM	6" 150	3/4"	8	130-200	200	0218	11/4/2025	AN		
333	 6-PF-21206-ACM	6" 150	3/4"	8	130-200	200	0218	11/4/2025	EC IG 		
334	6-PO-21032-ACM	6" 150	3/4"	8	130-200	200	5155	11/5/2025	IG EC		
335	6-PO-21032-ACM	6" 150	3/4"	8	130-200	200	5155	11/5/2025	IG EC		
336	6-PO-21032-ACM	6" 150	3/4"	8	130-200	200	5155	11/5/2025	IG EC		
337	6-PO-21032-ACM	6" 150	3/4"	8	130-200	200	5155	11/5/2025	IG EC		
338	6-PO-21032-ACM	6" 150	3/4"	8	130-200	200	5155	11/5/2025	IG EC		
339	6-VG-2102203-ACM	6" 150	3/4"	8	130-200	200	5155	11/5/2025	IG EC		
340	6-VG-2102203-ACM	4" 150	5/8"	8	70-120	120	5155	10/20/2025	EC IG 		
341	6-VG-2102203-ACM	6" 150	3/4"	8	130-200	200	5155	10/20/2025	EC IG 		
342	2-CO-80102-BCM	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
343	2-CO-80102-BCM	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
344	2-CO-80102-BCM	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
345	2-CO-80102-BCM	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
346	2-CO-80102-BCM	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
347	2-CO-80102-BCM	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
348	2-CO-80102-BCM	3" 300	3/4"	8	100-150	150	5125	11/11/2025	AN		
349	2-CO-80102-BCM	3" 300	3/4"	8	100-150	150	5125	11/11/2025	AN		
350	2-CO-80102-BCM	3" 300	3/4"	8	100-150	150	5125	11/11/2025	AN		
351	2-CO-80103-DCL	2" 600	5/8"	8	60-80	80	5125	11/12/2025	AN		
352	16-PG-60002-BCM	18"	1 1/4"	24	500-1000	900	0808	11/5/2025	AC		
353	16-PG-60002-BCM	16"	1 1/4"	18	920	920	0808	11/5/2025	AC		
354	2-IA-92200-ACL	2" 150	5/8"	4	60-120	120	0719	10/28/2025	CM		
355	2-IA-92200-ACL	2" 150	5/8"	4	60-120	120	0719	10/28/2025	CM		
355.1	2-IA-92200-AHA	2" 150	5/8"	4	60-120	120	0719	10/28/2025	AN		
356	3-PG-80201-BCM	3" 300	3/4"	8	100-150	150	5125	11/4/2025	AN		
357	3-PG-80201-BCM	3" 300	3/4"	8	100-150	150	5125	11/4/2025	AN		
358	3-PG-80201-BCM	3" 300	3/4"	8	100-150	150	5125	11/4/2025	AN		
359	3-PG-80201-BCM	3" 300	3/4"	8	100-150	150	5125	11/4/2025	AN		
360	3-PG-80201-BCM	3" 300	3/4"	8	100-150	150	5125	11/4/2025	AN		
361	16-PG-80001-BCM	18"	1 1/4"	24	500-1000	900	0808	11/4/2025	AC		
362	16-PG-80001-BCM	16"	1 1/4"	20	920	920	0808	10/4/2025	EC IG 		
363	16-PG-80001-BCM	16"	1 1/4"	20	920	920	0808	11/3/2025	EC IG 		
364	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC		
365	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC		
366	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC		
367	16-PG-80001-BCM	16"	1 1/4"	20	920	920	0808	11/4/2025	AC		
368	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC		
369	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC		
370	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC		
371	16-PG-80001-BCM	16"	1 1/4"	20	920	920	0808	11/3/2025	IG EC		
372	16-PG-80001-BCM	16"	1 1/4"	20	920	670	0808	11/7/2025	IG AC		
373	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC	KK	
374	16-PG-80001-BCM	2"  300	5/8"	8	60-80	80	5155	11/5/2025	IG EC	KK	
375	16-PG-80001-BCM	16"	1 1/4"	20	500-920	900	0808	11/5/2025	AC		
376	16-PG-80001-BCM	16"	1 1/4"	20	500-920	900	0808	11/5/2025	AC		
377	16-PG-80001-BCM	16"	1 1/4"	20	500-920	900	0808	11/5/2025	AC		
377.1	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.2	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.3	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.4	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.5	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.6	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.7	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.8	2-CO-69551-ACM	2" 150	5/8"	4	60-120	120	5155	2/11/2026	IG EC		
377.1	2-PW-31027-ACL	2" 150	5/8"	4	60-120	120	4463	2/11/2026	IG EC		
378	2-PW-31027-ACL	2" 150	5/8"	4	60-120	120	4463	2/11/2026	IG EC		
379	2-PW-31027-ACL	2" 150	5/8"	4	60-120	120	4463	2/11/2026	IG EC		
380	2-PW-31027-ACL	1.5	1/2"	4	60-120	120	4463	9/30/2025	IG EC		
381	2-PW-31028-ACL	3" 150	 5/8	4	90-120	120	9125	2/4/2026	EC		
382	2-PW-31028-ACL	3" 150	 5/8	4	90-120	120	5155	2/10/2026	EC		
383	6-VG-31024-ACM	4" 150	5/8"	8	70-120	120	5155	10/20/2025	EC IG 		
384	3-PG-31023-ACM	3" 150	 5/8	4	90-120	120	5155	2/10/2026	EC		
385	3-PG-31023-ACM	3" 150	 5/8	4	90-120	120	5155	2/10/2026	EC		
386	3-PG-31023-ACM	4" 150	5/8"	8	70-120	120	4463	2/10/2026	JR		
387	4-CO-31050-ACM	6" 150	3/4"	8	130-200	200	4463	2/10/2026	JR		
388	4-CO-31050-ACM	4" 150	5/8"	8	70-120	120	4463	2/10/2026	JR		
389	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	JR		
390	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	JR		
391	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	JR		
392	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	JR		
393	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	JR		
394	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	JR		
395	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	AO		
396	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	IC		
397	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/11/2026	IC		
397.1	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/11/2026	IC	3/24/2026	KK
398	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/11/2026	IC	3/24/2026	KK
399	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	IC	3/24/2026	KK
400	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	IC	3/24/2026	KK
401	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	IC		
402	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	IC	3/24/2026	KK
404	4-CO-31050-ACM	3" 150	 5/8	4	90-120	120	5155	2/10/2026	EC	3/24/2026	KK
405	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	EC		
407	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	2/10/2026	EC		
408	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	IC	3/24/2026	KK
409	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	IC	3/25/2026	KK
410	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	IC	3/26/2026	KK
411	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	IC	3/27/2026	KK
412	4-CO-31050-ACM	4" 150	5/8"	4	70-120	120	4463	5/27/2026	IC	3/28/2026	KK
413	4-CO-31050-ACM	3" 150	 5/8	4	90-120	120	4463	5/27/2026	EC	3/29/2026	KK
414	6-PG-31021-ACM	6" 150	3/4"	8	130-200	200	5155	12/19/2025	AN	3/30/2026	KK
415	6-PG-31021-ACM	6" 150	3/4"	8	130-200	200	5155	12/19/2025	AN	3/31/2026	KK
416	6-PG-31021-ACM	6" 150	3/4"	8	130-200	200	5155	12/19/2025	OV		
417	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	5155	11/13/2025	IG-EC		
418	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	5155	11/13/2025	AC		
419	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	5155	11/13/2025	AC		
420	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	5155	2/9/2026	IG-EC		
421	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	9125	2/4/2026	AN		
422	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	9125	2/4/2026	AN		
424	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	9125	2/4/2026	AN		
425	6-PO-30001-ACM	6" 150	3/4"	8	130-200	200	9125	2/4/2026	AN	3/24/2026	KK
426	6-PO-30001-ACM	2" 150	5/8"	4	60-120	120	9125	2/4/2026	AN		
437	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN		
437.1	8-PO-31022-ACM REDLINE	6" 150	3/4"	8	130-200	200	4463	6/9/2026	JR		
438	8-PO-31022-ACM REDLINE	6" 150	3/4"	8	130-200	200	4463	6/9/2026	JR		
439	8-PO-31022-ACM 1 REDLINE	6" 150	3/4"	8	130-200	200	4463	6/9/2026	JR		
440	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN	3/24/2026	KK
441	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN	3/24/2026	KK
442	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN	3/24/2026	KK
443	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN	3/24/2026	KK
444	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN	3/24/2026	KK
445	8-PO-31022-ACM REDLINE	8" 150	 3/4	8	180-200	200	4463	6/4/2026	AN	3/24/2026	KK
447	2-CO-41016-ACL	1.5	1/2"	4	30-60	60	4463	4/11/2026	IG EC		
448	2-CO-41016-ACL	2" 150	5/8"	4	60-120	120	4463	4/11/2026	IG EC		
449	2-CO-41017-ACL	3" 150	 5/8	4	90-120	120	5155	12/18/2025	MP		
450	2-CO-41017-ACL	3" 150	 5/8	4	90-120	120	5155	12/18/2025	MP		
451	2-CO-41017-ACL	2" 150	5/8"	4	60-120	120	5155	12/18/2025	MP		
452	2-CO-41017-ACL	2" 150	5/8"	4	60-120	120	5125	12/18/2025	MP		
453	2-CO-41017-ACL	2" 150	5/8"	4	60-120	120	5125	12/18/2025	MP		
454	2-CO-41017-ACL	2" 150	5/8"	4	60-120	120	5125	12/18/2025	MP		
455	2-CO-41017-ACL	2" 150	5/8"	4	60-120	120	5125	12/18/2025	MP		
457	4-PG-41013-ACM	4" 150	5/8"	4	60-120	120	5125	11/11/2025	OV		
458	4-PG-41013-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	OV		
459	4-PG-41013-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	OV		
460	4-PG-41013-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	OV		
460.1	4-PW-41001-ALM	6" 150	3/4"	8	130-200	200	5155	12/18/2025	IG-EC	3/24/2026	KK
460.2	4-PW-41001-ALM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
460.3	4-PW-41001-ALM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
460.4	4-PW-41001-ALM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
460.5	4-PW-41001-ALM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
460.6	4-PW-41001-ALM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
460.7	4-PW-41001-ALM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
464	4-VG-41014-ACM	4" 150	5/8"	8	70-120	120	5155	12/18/2025	IG-EC	3/24/2026	KK
465	6-PG-41011-ACM	6" 150	3/4"	8	130-200	200	5155	12/18/2025	IG-EC		
466	6-PG-41011-ACM	6" 150	3/4"	8	130-200	200	5155	12/18/2025	IG-EC	3/24/2026	KK
467	6-PG-41011-ACM	6" 150	3/4"	8	130-200	200	5155	12/18/2025	IG-EC	3/24/2026	KK
468	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
469	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
470	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
471	8-PW-41012-ALM-1.5FP/ET	2" 150	5/8"	4	60-120	120	5155	4/11/2026	IG-EC		
472	8-PW-41012-ALM-1.5FP/ET	6" 150	3/4"	8	130-200	200	5155	4/11/2026	IG-EC		
473	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
474	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
475	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
476	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
477	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
478	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
479	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
480	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
481	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
482	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
483	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
484	8-PW-41012-ALM-1.5FP/ET	8" 150	 3/4	8	180-200	200	5155	4/11/2026	IG-EC		
485	8-PW-41012-ALM-1.5FP/ET	4" 150	 5/8	8	70-120	120	5155	4/11/2026	IG-EC		
486	8-PW-41012-ALM-1.5FP/ET	4" 150	 5/8	8	70-120	120	5155	4/11/2026	IG-EC		
487	8-PW-41012-ALM-1.5FP/ET	4" 150	 5/8	8	70-120	120	5155	4/11/2026	IG-EC		
488	2-CO-91011-BCL	2"  300	5/8"	8	60-80	80	5155	11/11/2025	AN		
489	2-FG-91100-ACM	3" 150	 5/8	4	90-120	120	5125	10/25/2025	IG EC		
490	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN		
491	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN		
492	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN		
493	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN		
494	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN		
495	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN	3/26/2026	KK
496	2-FG-91100-ACM	2" 150	5/8"	4	60-120	120	4463	10/25/2025	AN	3/26/2026	KK
497	2-PG-91014-ACM	3" 150	 5/8	4	90-120	120	5155	10/24/2025	IG EC	3/26/2026	KK
498	2-PG-91014-ACM	2" 150	5/8"	4	60-120	120	5155	10/24/2025	AN	3/26/2026	KK
499	3-IA-92600-ACM	6" 150	3/4"	8	130-200	200	5125	10/25/2025	AN	3/26/2026	KK
500	3-IA-92600-ACM	3" 150	 5/8	4	90-120	120	0218	10/25/2025	IG EC	3/26/2026	KK
501	3-IA-92600-ACM	3" 150	 5/8	4	90-120	120	0218	10/25/2025	IG EC	3/26/2026	KK
502	3-IA-92600-ACM	3" 150	 5/8	4	90-120	120	0218	10/25/2025	IG EC	3/26/2026	KK
503	3-IA-92600-ACM	3" 150	 5/8	4	90-120	120	0218	10/25/2025	IG EC	3/26/2026	KK
504	3-IA-92600-ACM	3" 150	 5/8	4	90-120	120	0218	10/25/2025	IG EC	3/26/2026	KK
505	3-IA-92600-ACM	3" 150	 5/8	4	90-120	120	0218	10/10/2025	IG EC	3/26/2026	KK
506	3-IA-92600-ACM	6" 150	3/4"	8	130-200	200	5125	10/25/2025	AN	3/26/2026	KK
507	2-PF-93100-DCN	2" 600	5/8"	8	60-80	80	5125	3/16/2026	AN		
508	2-PF-93100-DCN	2" 600	5/8"	8	60-80	80	5125	3/16/2026	AN		
510	2-PF-93110-DCN	2" 600	5/8"	8	60-80	80	5125	3/16/2026	AN		
511	2-PF-93110-DCN	2" 600	5/8"	8	60-80	80	5125	3/16/2026	AN		
512.1	2-PF-32012-DCL	2" 600	5/8"	8	60-80	80	5125	3/16/2026	AN		
513	3-PG-32011-ACM	4" 150	5/8"	8	70-120	120	5155	11/11/2025	AN	3/26/2026	KK
514	3-PG-32011-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	AN		
515	3-PG-32011-ACM	2" 150	5/8"	4	60-120	120	5155	11/11/2025	JR		
516	3-PG-32011-ACM	2" 150	5/8"	4	60-120	120	5155	11/11/2025	JR		
516.1	3-VG-32051-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	JR	3/26/2026	KK
517	3-PG-32011-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	JR	3/26/2026	KK
518	3-PG-32011-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	JR	3/26/2026	KK
519	3-PG-32011-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	JR	3/26/2026	KK
520	3-PG-32011-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	AN		
521	3-PG-32011-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	AN		
522	6-PG-32301-ACM	8" 150	3/4"	8	180-200	200	5155	11/27/2025	IM		
523	6-PG-32301-ACM	6" 150	3/4"	8	130-200	200	5155	11/27/2025	EC IG 		
524	6-PG-32301-ACM	6" 150	3/4"	8	130-200	200	5155	11/27/2025	EC IG 		
525	6-PG-32301-ACM	6" 150	3/4"	8	130-200	200	5155	11/27/2025	EC IG 		
526	6-PG-32301-ACM	6" 150	3/4"	8	130-200	200	5155	11/27/2025	EC IG 		
527	2-PF-32032-DCL	2" 600	5/8"	8	60-80	80	5155	10/24/2025	AN		
528	3-PG-32031-ACM	4" 150	5/8"	8	70-120	120	5155	9/12/2025	AN	3/26/2026	KK
529	3-PG-32031-ACM	3" 150	 5/8	4	90-120	120	5125	11/12/2025	AN		
530	3-PG-32031-ACM	2" 150	5/8"	4	60-120	120	5155	11/10/2025	AN	3/24/2026	KK
530.1	3-VG-32053-ACM	3" 150	 5/8	4	90-120	120	5125	11/24/2025	IM	3/24/2026	KK
531	3-PG-32031-ACM	2" 150	5/8"	4	60-120	120	5125	11/24/2025	IM		
532	3-PG-32031-ACM	3" 150	 5/8	4	90-120	120	5125	11/24/2025	IM		
533	3-PG-32031-ACM	3" 150	 5/8	4	90-120	120	5125	11/24/2025	IM	3/24/2026	KK
534	3-PG-32031-ACM	3" 150	 5/8	4	90-120	120	5125	11/11/2025	JR	3/24/2026	KK
535	3-PG-32031-ACM	3" 150	 5/8	4	90-120	120	5125	11/24/2025	IM		
536	3-PG-32031-ACM	3" 150	 5/8	4	90-120	120	5125	11/7/2025	EC		
537	6-PG-32303-ACM	8" 150	3/4"	8	180-200	200	5125	11/24/2025	IM		
538	6-PG-32303-ACM	6" 150	3/4"	8	130-200	200	5125	11/10/2025	IM		
539	6-PG-32303-ACM	6" 150	3/4"	8	130-200	200	5125	12/18/2025	IM	3/24/2026	KK
540	6-PG-32303-ACM	6" 150	3/4"	8	130-200	200	5125	11/24/2025	IM	3/24/2026	KK
541	6-PG-32303-ACM	6" 150	3/4"	8	130-200	200	5125	11/24/2025	AN	3/24/2026	KK
542	6-PG-32303-ACM	6" 150	3/4"	8	130-200	200	5155	11/7/2025	IG EC	3/24/2026	KK
543	6-PG-63003-ACM 1-4	6" 300	 3/4	12	110-200	200	5155	3/17/2026	IG EC	3/19/2026	KK
544	6-PG-63003-ACM 3-4	10" 150	 7/8	12	170-320	320	0480	3/17/2026	IG EC		
545	4-PG-63031-DCM 1-4	4" 900	1 1/8	8	260-420	420	0480	4/20/2026	IG EC	3/24/2026	KK
546	4-PG-63031-DCM 1-4	2" 600	5/8"	8	60-80	130	5155	3/17/2026	IG EC	3/24/2026	KK
547	4-PG-63031-DCM 1-4	2" 600	5/8"	8	60-80	80	5155	3/17/2026	IG EC		
548	3-VG-63035-ACM 1-1	2" 150	5/8"	4	60-120	120	5155	3/17/2026	IG EC		
549	4-PG-63031-DCM 1-4	4" 600	 7/8	8	190-320	320	0480	3/17/2026	IG EC	3/19/2026	KK
550	4-PG-63031-DCM 1-4	4" 600	 7/8	8	190-320	320	0480	3/17/2026	IG EC	3/19/2026	KK
551	4-PG-63031-DCM 1-4	4" 600	 7/8	8	190-320	320	0480	3/17/2026	IG EC		
552	4-PG-63031-DCM 1-4	4" 600	 7/8	8	190-320	320	0480	3/17/2026	IG EC	3/19/2026	KK
